stkcd,date,stknme,clsprc,hiprc,lowprc,opnprc,rit,turnover,volume,transaction,tcap,mcap
1,2018-04-23,pingan,11.57,11.61,11.26,11.3,.019383,.63260001,10.7028935,1228544000,198661659505,195741343744
1,2018-04-24,pingan,11.86,11.94,11.58,11.63,.025065,.86360002,14.610988,1725152256,203641078801,200647565843
1,2018-04-25,pingan,11.68,11.81,11.63,11.76,-.015177,.43169999,7.3028648,854713280,200550404755,197602324540
1,2018-04-26,pingan,11.42,11.69,11.31,11.66,-.02226,.51670003,8.7423591,1002483136,196086097800,193203642658
1,2018-04-27,pingan,10.85,11.51,10.63,11.49,-.049912,1.6016999,27.0979568,2958464256,186298963321,183560378532
1,2018-05-02,pingan,10.88,11.03,10.8,10.97,.002765,.70370001,11.9052318,1295804416,186814075662,184067918749
1,2018-05-03,pingan,10.75,10.88,10.57,10.86,-.011949,.75739998,12.8135557,1372765824,184581922184,181868577808
1,2018-05-04,pingan,10.68,10.83,10.66,10.73,-.006512,.41999999,7.1050952,761302464,183379993389,180684317302
1,2018-05-07,pingan,10.81,10.83,10.64,10.7,.012172,.57590002,9.743096700000001,1046743104,185612146866,182883658243
1,2018-05-08,pingan,11.01,11.15,10.8,10.83,.018501,.81169999,13.7330568,1511546624,189046229140,186267259690
1,2018-05-09,pingan,10.97,11.03,10.88,10.98,-.003633,.37099999,6.2765613,687036864,188359412685,185590539401
1,2018-05-10,pingan,11.01,11.09,10.91,11.03,.003646,.3267,5.5273588,607350016,189046229140,186267259690
1,2018-05-11,pingan,11.01,11.13,10.96,11.04,0,.45649999,7.7236966,853271168,189046229140,186267259690
1,2018-05-14,pingan,11.18,11.23,11.03,11.09,.015441,.61430001,10.3929716,1158064256,191965199072,189143320921
1,2018-05-15,pingan,11.12,11.19,11.02,11.18,-.005367,.39559999,6.6926144,742590464,190934974390,188128240487
1,2018-05-16,pingan,10.9,11.07,10.89,11.07,-.019784,.42219999,7.1436208,782694656,187157483889,184406278894
1,2018-05-17,pingan,10.82,10.94,10.78,10.91,-.007339,.34670001,5.8649438,635675456,185783850980,183052838315
1,2018-05-18,pingan,10.96,10.97,10.76,10.81,.012939,.34189999,5.7838477,628250176,188187708571,185421359328
1,2018-05-21,pingan,10.95,11.11,10.93,11.07,-.000912,.4447,7.6353357,838750592,188016004458,188014294670
1,2018-05-22,pingan,10.86,10.98,10.79,10.95,-.008219,.34349999,5.8987185,639815232,186470667435,186468971700
1,2018-05-23,pingan,10.65,10.82,10.62,10.82,-.019337,.5772,9.9101629,1058587840,182864881048,182863218104
1,2018-05-24,pingan,10.61,10.68,10.58,10.66,-.003756,.40079999,6.8815202,730678784,182178064593,182176407895
1,2018-05-25,pingan,10.59,10.67,10.55,10.61,-.001885,.34560001,5.9333567,629735424,181834656366,181833002790
1,2018-05-28,pingan,10.59,10.66,10.51,10.58,0,.33160001,5.6940092,602590720,181834656366,181833002790
1,2018-05-29,pingan,10.38,10.63,10.35,10.58,-.01983,.51800001,8.8949497,930386944,178228869979,178227249194
1,2018-05-30,pingan,10.08,10.29,10.05,10.29,-.028902,.65490001,11.2444704,1139918720,173077746569,173076172628
1,2018-05-31,pingan,10.18,10.19,10.02,10.11,.009921,.57499999,9.8736038,999216320,174794787706,174793198150
1,2018-06-01,pingan,10.19,10.29,10.07,10.15,.000982,.34779999,5.9721116,608398848,174966491820,174964900702
1,2018-06-04,pingan,10.27,10.31,10.15,10.23,.007851,.34540001,5.9303835,608291968,176340124729,176338521120
1,2018-06-05,pingan,10.26,10.3,10.11,10.29,-.000974,.38240001,6.5654075,670740288,176168420615,176166818567
1,2018-06-06,pingan,10.14,10.26,10.1,10.25,-.011696,.41510001,7.1274341,724032768,174107971251,174106387941
1,2018-06-07,pingan,10.37,10.46,10.18,10.2,.022682,.73540002,12.626382,1306425472,178057165865,178055546642
1,2018-06-08,pingan,10.12,10.33,10.06,10.33,-.024108,.64029998,10.9937982,1114968832,173764563024,173762982837
1,2018-06-11,pingan,10.04,10.13,10,10.06,-.007905,.4201,7.2137498,724688000,172390930115,172389362419
1,2018-06-12,pingan,10.06,10.08,9.9499998,10.03,.001992,.53189999,9.1330072,914001728,172734338342,172732767523
1,2018-06-13,pingan,9.9499998,10.06,9.9499998,10.04,-.010934,.30899999,5.3058431,530483744,170845593092,170844039449
1,2018-06-14,pingan,10.07,10.15,9.9200001,9.9499998,.01206,.50459999,8.6639201,872487552,172906042456,172904470075
1,2018-06-15,pingan,10.17,10.29,10.06,10.08,.00993,.72729999,12.4870788,1273412992,174623083592,174621495598
1,2018-06-19,pingan,9.8699999,10.15,9.8199997,10.05,-.029499,.912,15.6587447,1565756544,169471960182,169470419031
1,2018-06-20,pingan,9.9099998,9.9499998,9.7600002,9.8699999,.004053,.4447,7.6363731,752950720,170158776637,170157229240
